seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr16	67231836	67231910	75	*	X09740	79767	67233028	67237927	4900	+	1117	upstream	1117	ELMO3
chr16	67232013	67232132	120	*	X09741	79767	67233028	67237927	4900	+	895	upstream	895	ELMO3
chr16	67232995	67233005	11	*	X09742	79767	67233028	67237927	4900	+	22	upstream	22	ELMO3
chr16	67233258	67233296	39	*	X09743	79767	67233028	67237927	4900	+	0	inside	229	ELMO3
chr16	67236422	67236556	135	*	X09749	442901	67236224	67236298	75	-	123	upstream	123	MIR328
chr16	67237263	67237382	120	*	X09750	442901	67236224	67236298	75	-	964	upstream	964	MIR328
chr16	67237638	67237742	105	*	X09751	442901	67236224	67236298	75	-	1339	upstream	1339	MIR328
chr16	67693188	67693247	60	*	X09793	50855	67694851	67696681	1831	+	1603	upstream	1603	PARD6A
chr16	67698651	67698830	180	*	X09795	388284	67700717	67702661	1945	+	1886	upstream	1886	C16orf86
chr16	67881868	67881884	17	*	X09803	80152	67862060	67881361	19302	-	506	upstream	506	CENPT
chr16	67979130	67979219	90	*	X09818	3931	67973787	67978015	4229	-	1114	upstream	1114	LCAT
chr16	69965562	69965666	105	*	X09880	406932	69966984	69967083	100	+	1317	upstream	1317	MIR140
chr16	81697111	81697175	65	*	X10020	100129617	81698959	81700879	1921	+	1783	upstream	1783	LOC100129617
chr16	87525088	87525342	255	*	X10126	23174	87439852	87525460	85609	-	0	inside	117	ZCCHC14
chr16	89784714	89784848	135	*	X10256	92822	89786808	89807332	20525	+	1959	upstream	1959	ZNF276
chr17	1397486	1397575	90	*	X10373	4641	1367480	1396001	28522	-	1484	upstream	1484	MYO1C
chr17	1397752	1397871	120	*	X10374	4641	1367480	1396001	28522	-	1750	upstream	1750	MYO1C
chr17	1944671	1944680	10	*	X10408	124641	1945277	1946725	1449	+	596	upstream	596	OVCA2
chr17	4802913	4803032	120	*	X10582	100130311	4802948	4806227	3280	+	0	overlapStart	0	C17orf107
chr17	4835696	4835720	25	*	X10584	2811	4835592	4838325	2734	+	0	inside	103	GP1BA
chr17	4872403	4872567	165	*	X10593	9552	4862521	4871132	8612	-	1270	upstream	1270	SPAG7
chr17	4872598	4872732	135	*	X10594	9552	4862521	4871132	8612	-	1465	upstream	1465	SPAG7
chr17	6899674	6899799	126	*	X10653	239	6899384	6914055	14672	+	0	inside	289	ALOX12
chr17	6917111	6917188	78	*	X10656	100506713	6888442	6915653	27212	-	1457	upstream	1457	ALOX12-AS1
chr17	6917362	6917466	105	*	X10657	100506713	6888442	6915653	27212	-	1708	upstream	1708	ALOX12-AS1
chr17	7127209	7127298	90	*	X10667	442898	7126616	7126698	83	-	510	upstream	510	MIR324
chr17	7127374	7127508	135	*	X10668	442898	7126616	7126698	83	-	675	upstream	675	MIR324
chr17	7127832	7127981	150	*	X10669	442898	7126616	7126698	83	-	1133	upstream	1133	MIR324
chr17	7128177	7128266	90	*	X10670	442898	7126616	7126698	83	-	1478	upstream	1478	MIR324
chr17	7138068	7138099	32	*	X10676	1856	7128661	7137863	9203	-	204	upstream	204	DVL2
chr17	7138189	7138323	135	*	X10677	1856	7128661	7137863	9203	-	325	upstream	325	DVL2
chr17	7146980	7147028	49	*	X10680	11337	7143738	7145753	2016	-	1226	upstream	1226	GABARAP
chr17	7147350	7147484	135	*	X10681	11337	7143738	7145753	2016	-	1596	upstream	1596	GABARAP
chr17	7321444	7321728	285	*	X10701	374768	7323679	7324951	1273	+	1950	upstream	1950	SPEM1
chr17	7476584	7476703	120	*	X10724	652965	7478031	7478165	135	+	1327	upstream	1327	SNORA48
chr17	7476854	7476996	143	*	X10725	652965	7478031	7478165	135	+	1034	upstream	1034	SNORA48
chr17	7477143	7477288	146	*	X10726	652965	7478031	7478165	135	+	742	upstream	742	SNORA48
chr17	7493445	7493476	32	*	X10732	6665	7491498	7493488	1991	-	0	inside	11	SOX15
chr17	7757371	7757447	77	*	X10749	92162	7758384	7759417	1034	+	936	upstream	936	TMEM88
chr17	7758465	7758473	9	*	X10750	92162	7758384	7759417	1034	+	0	inside	80	TMEM88
chr17	7832988	7833152	165	*	X10771	9196	7825177	7832753	7577	-	234	upstream	234	KCNAB3
chr17	7833798	7833816	19	*	X10772	9196	7825177	7832753	7577	-	1044	upstream	1044	KCNAB3
chr17	7833798	7833816	19	*	X10772	116840	7835442	7853237	17796	+	1625	upstream	1625	CNTROB
chr17	7833903	7833932	30	*	X10773	9196	7825177	7832753	7577	-	1149	upstream	1149	KCNAB3
chr17	7833903	7833932	30	*	X10773	116840	7835442	7853237	17796	+	1509	upstream	1509	CNTROB
chr17	8281758	8281847	90	*	X10803	124751	8271973	8280029	8057	-	1728	upstream	1728	KRBA2
chr17	15156386	15156475	90	*	X10845	100616125	15154944	15155013	70	-	1372	upstream	1372	MIR4731
chr17	15156926	15157045	120	*	X10846	100616125	15154944	15155013	70	-	1912	upstream	1912	MIR4731
chr17	17717156	17717218	63	*	X10919	693120	17717150	17717245	96	-	0	inside	26	MIR33B
chr17	17717446	17717565	120	*	X10920	693120	17717150	17717245	96	-	200	upstream	200	MIR33B
chr17	17718539	17718823	285	*	X10921	693120	17717150	17717245	96	-	1293	upstream	1293	MIR33B
chr17	18577535	18577549	15	*	X10960	2310	18569236	18576494	7259	-	1040	upstream	1040	FOXO3B
chr17	18577981	18578014	34	*	X10961	2310	18569236	18576494	7259	-	1486	upstream	1486	FOXO3B
chr17	19174703	19174717	15	*	X10971	100874309	19174706	19177701	2996	+	0	overlapStart	0	EPN2-IT1
chr17	19210073	19210123	51	*	X10972	100874018	19199909	19209574	9666	-	498	upstream	498	EPN2-AS1
chr17	26683105	26683209	105	*	X11032	147007	26684687	26689089	4403	+	1477	upstream	1477	TMEM199
chr17	26683105	26683209	105	*	X11032	23098	26684687	26728065	43379	+	1477	upstream	1477	SARM1
chr17	26691985	26692089	105	*	X11034	645832	26691290	26692265	976	-	0	inside	175	SEBOX
chr17	26692351	26692470	120	*	X11035	645832	26691290	26692265	976	-	85	upstream	85	SEBOX
chr17	26940909	26941028	120	*	X11049	124923	26907027	26941211	34185	-	0	inside	182	RSKR
chr17	26941914	26942048	135	*	X11050	124923	26907027	26941211	34185	-	702	upstream	702	RSKR
chr17	26942835	26942939	105	*	X11051	124923	26907027	26941211	34185	-	1623	upstream	1623	RSKR
chr17	27047222	27047326	105	*	X11061	83871	27041299	27045286	3988	-	1935	upstream	1935	RAB34
chr17	27047222	27047326	105	*	X11061	6147	27047000	27051374	4375	+	0	inside	221	RPL23A
chr17	27047222	27047326	105	*	X11061	26808	27047568	27047634	67	+	241	upstream	241	SNORD42B
chr17	27050498	27050632	135	*	X11062	26809	27050447	27050509	63	+	0	overlapEnd	50	SNORD42A
chr17	27050498	27050632	135	*	X11062	26772	27050699	27050772	74	+	66	upstream	66	SNORD4B
chr17	27187934	27188024	91	*	X11077	100616273	27188389	27188456	68	+	364	upstream	364	MIR451B
chr17	27404424	27404573	150	*	X11091	9220	27400539	27402627	2089	-	1796	upstream	1796	TIAF1
chr17	34956565	34956642	78	*	X11252	79922	34958025	34965407	7383	+	1382	upstream	1382	MRM1
chr17	36873924	36874034	111	*	X11295	100616153	36875944	36876001	58	+	1909	upstream	1909	MIR4726
chr17	36875631	36875780	150	*	X11296	100616153	36875944	36876001	58	+	163	upstream	163	MIR4726
chr17	36875856	36875975	120	*	X11297	100616153	36875944	36876001	58	+	0	overlapStart	0	MIR4726
chr17	37881645	37881839	195	*	X11380	100616132	37882748	37882814	67	+	908	upstream	908	MIR4728
chr17	38185180	38185314	135	*	X11402	101340251	38183796	38183898	103	-	1281	upstream	1281	SNORD124
chr17	38978553	38978792	240	*	X11447	3858	38974369	38978863	4495	-	0	inside	70	KRT10
chr17	40266259	40266378	120	*	X11486	79132	40253422	40264751	11330	-	1507	upstream	1507	DHX58
chr17	40266604	40266708	105	*	X11487	79132	40253422	40264751	11330	-	1852	upstream	1852	DHX58
chr17	40731397	40731471	75	*	X11514	29893	40724328	40729849	5522	-	1547	upstream	1547	PSMC3IP
chr17	40932107	40932241	135	*	X11535	65266	40932649	40949084	16436	+	407	upstream	407	WNK4
chr17	40994986	40995105	120	*	X11544	314	40996609	41002724	6116	+	1503	upstream	1503	AOC2
chr17	41363887	41363915	29	*	X11565	113277	41363894	41371589	7696	+	0	overlapStart	0	TMEM106A
chr17	42275497	42275586	90	*	X11612	56970	42269173	42275529	6357	-	0	overlapStart	0	ATXN7L3
chr17	46669506	46669610	105	*	X11795	3213	46626232	46667631	41400	-	1874	upstream	1874	HOXB3
chr17	46802942	46803046	105	*	X11802	100422978	46801770	46801837	68	-	1104	upstream	1104	MIR3185
chr17	47923142	47923246	105	*	X11837	729220	47923272	47926199	2928	+	25	upstream	25	FLJ45513
chr17	54968837	54968941	105	*	X11927	100500827	54968631	54968716	86	-	120	upstream	120	MIR3614
chr17	61775616	61775750	135	*	X12051	729683	61777698	61780045	2348	+	1947	upstream	1947	LOC729683
chr17	62779955	62780044	90	*	X12073	146880	62745780	62778117	32338	-	1837	upstream	1837	ARHGAP27P1
chr17	72200001	72200074	74	*	X12135	6169	72199795	72206019	6225	+	0	inside	205	RPL38
chr17	72207858	72208052	195	*	X12140	94015	72209696	72258157	48462	+	1643	upstream	1643	TTYH2
chr17	72858813	72858917	105	*	X12162	2905	72838168	72856966	18799	-	1846	upstream	1846	GRIN2C
chr17	73259152	73259241	90	*	X12195	23163	73232694	73258444	25751	-	707	upstream	707	GGA3
chr17	73842769	73842903	135	*	X12256	201294	73823308	73840851	17544	-	1917	upstream	1917	UNC13D
chr17	73894989	73895108	120	*	X12260	201292	73885041	73893084	8044	-	1904	upstream	1904	TRIM65
chr17	73906199	73906303	105	*	X12264	64978	73894724	73905899	11176	-	299	upstream	299	MRPL38
chr17	78390432	78390547	116	*	X12467	100294362	78325631	78388968	63338	-	1463	upstream	1463	RNF213-AS1
chr17	79214569	79214579	11	*	X12523	146705	79202077	79212891	10815	-	1677	upstream	1677	TEPSIN
chr17	79419650	79419675	26	*	X12551	100422944	79418130	79418214	85	-	1435	upstream	1435	MIR3186
chr17	79793041	79793061	21	*	X12591	348262	79780293	79791167	10875	-	1873	upstream	1873	MCRIP1
chr17	79793041	79793061	21	*	X12591	116729	79791368	79792926	1559	-	114	upstream	114	PPP1R27
chr17	79876693	79876753	61	*	X12608	51547	79869815	79876058	6244	-	634	upstream	634	SIRT7
chr18	47808570	47808597	28	*	X12907	4152	47793252	47808144	14893	-	425	upstream	425	MBD1
chr18	47809150	47809194	45	*	X12908	4152	47793252	47808144	14893	-	1005	upstream	1005	MBD1
chr18	47809735	47809869	135	*	X12909	4152	47793252	47808144	14893	-	1590	upstream	1590	MBD1
chr19	1271583	1271777	195	*	X13177	148046	1267470	1270259	2790	-	1323	upstream	1323	CIRBP-AS1
chr19	1816605	1816739	135	*	X13250	100302210	1816158	1816237	80	-	367	upstream	367	MIR1909
chr19	1816771	1816890	120	*	X13251	100302210	1816158	1816237	80	-	533	upstream	533	MIR1909
chr19	1817340	1817459	120	*	X13252	100302210	1816158	1816237	80	-	1102	upstream	1102	MIR1909
chr19	1821690	1821854	165	*	X13256	100288123	1822088	1824542	2455	+	233	upstream	233	LOC100288123
chr19	2234037	2234141	105	*	X13347	100302283	2234061	2234148	88	-	0	overlapEnd	6	MIR1227
chr19	2234757	2234771	15	*	X13348	100302283	2234061	2234148	88	-	608	upstream	608	MIR1227
chr19	2248347	2248571	225	*	X13350	268	2249113	2252072	2960	+	541	upstream	541	AMH
chr19	2248857	2249051	195	*	X13351	268	2249113	2252072	2960	+	61	upstream	61	AMH
chr19	2248857	2249051	195	*	X13351	100423031	2250638	2250717	80	+	1586	upstream	1586	MIR4321
chr19	3537967	3538084	118	*	X13472	100128569	3539155	3544028	4874	+	1070	upstream	1070	C19orf71
chr19	3983332	3983451	120	*	X13514	26812	3982505	3982570	66	-	761	upstream	761	SNORD37
chr19	4931100	4931204	105	*	X13650	100616337	4932699	4932752	54	+	1494	upstream	1494	MIR4747
chr19	5784433	5784559	127	*	X13717	163154	5782971	5784776	1806	-	0	inside	216	PRR22
chr19	5784650	5784754	105	*	X13718	163154	5782971	5784776	1806	-	0	inside	21	PRR22
chr19	5785085	5785189	105	*	X13719	163154	5782971	5784776	1806	-	308	upstream	308	PRR22
chr19	5785505	5785624	120	*	X13720	163154	5782971	5784776	1806	-	728	upstream	728	PRR22
chr19	5786750	5786854	105	*	X13721	163154	5782971	5784776	1806	-	1973	upstream	1973	PRR22
chr19	7692992	7693081	90	*	X13827	100131801	7694671	7696510	1840	+	1589	upstream	1589	PET100
chr19	7992712	7992906	195	*	X13850	404217	7989381	7991051	1671	-	1660	upstream	1660	CTXN1
chr19	10218227	10218346	120	*	X13903	692229	10218327	10218411	85	+	0	overlapStart	0	SNORD105
chr19	10218587	10218751	165	*	X13904	100113382	10220425	10220516	92	+	1673	upstream	1673	SNORD105B
chr19	10219162	10219281	120	*	X13905	100113382	10220425	10220516	92	+	1143	upstream	1143	SNORD105B
chr19	10221067	10221186	120	*	X13906	5032	10222197	10226064	3868	+	1010	upstream	1010	P2RY11
chr19	10221307	10221426	120	*	X13907	5032	10222197	10226064	3868	+	770	upstream	770	P2RY11
chr19	10222447	10222586	140	*	X13908	5032	10222197	10226064	3868	+	0	inside	249	P2RY11
chr19	10420099	10420203	105	*	X13932	100125288	10415479	10420233	4755	-	0	inside	29	ZGLP1
chr19	10421328	10421552	225	*	X13933	100125288	10415479	10420233	4755	-	1094	upstream	1094	ZGLP1
chr19	10421583	10421687	105	*	X13934	100125288	10415479	10420233	4755	-	1349	upstream	1349	ZGLP1
chr19	10427273	10427392	120	*	X13935	112812	10416066	10426691	10626	-	581	upstream	581	FDX2
chr19	10427483	10427602	120	*	X13936	112812	10416066	10426691	10626	-	791	upstream	791	FDX2
chr19	10427843	10427947	105	*	X13937	112812	10416066	10426691	10626	-	1151	upstream	1151	FDX2
chr19	10662583	10662717	135	*	X13968	100302226	10662798	10662880	83	+	80	upstream	80	MIR1238
chr19	10823147	10823251	105	*	X13979	1785	10823794	10944160	120367	+	542	upstream	542	DNM2
chr19	10823431	10823461	31	*	X13980	1785	10823794	10944160	120367	+	332	upstream	332	DNM2
chr19	10823942	10824061	120	*	X13981	1785	10823794	10944160	120367	+	0	inside	147	DNM2
chr19	12775402	12775626	225	*	X14084	84292	12777618	12786646	9029	+	1991	upstream	1991	WDR83
chr19	12817337	12817456	120	*	X14100	26810	12817263	12817332	70	-	4	upstream	4	SNORD41
chr19	12818312	12818341	30	*	X14101	26810	12817263	12817332	70	-	979	upstream	979	SNORD41
chr19	13054803	13054937	135	*	X14121	5886	13056628	13064457	7830	+	1690	upstream	1690	RAD23A
chr19	13055364	13055453	90	*	X14122	5886	13056628	13064457	7830	+	1174	upstream	1174	RAD23A
chr19	13874047	13874166	120	*	X14152	84245	13875337	13885096	9760	+	1170	upstream	1170	MRI1
chr19	14065256	14065367	112	*	X14173	79883	14042000	14064204	22205	-	1051	upstream	1051	PODNL1
chr19	14198485	14198589	105	*	X14199	646457	14192444	14196607	4164	-	1877	upstream	1877	C19orf67
chr19	14230470	14230536	67	*	X14207	5566	14202507	14228559	26053	-	1910	upstream	1910	PRKACA
chr19	15492320	15492409	90	*	X14300	10270	15464332	15490612	26281	-	1707	upstream	1707	AKAP8
chr19	16243128	16243217	90	*	X14320	84941	16244838	16269377	24540	+	1620	upstream	1620	HSH2D
chr19	18282469	18282602	134	*	X14478	10437	18284579	18288927	4349	+	1976	upstream	1976	IFI30
chr19	19146417	19146521	105	*	X14549	10147	19101697	19144832	43136	-	1584	upstream	1584	SUGP2
chr19	19385680	19385682	3	*	X14568	404037	19366452	19384074	17623	-	1605	upstream	1605	HAPLN4
chr19	19385680	19385682	3	*	X14568	53345	19375174	19384074	8901	-	1605	upstream	1605	TM6SF2
chr19	19756134	19756283	150	*	X14603	51291	19740285	19754455	14171	-	1678	upstream	1678	GMIP
chr19	19756359	19756463	105	*	X14604	51291	19740285	19754455	14171	-	1903	upstream	1903	GMIP
chr19	21933477	21933686	210	*	X14620	641367	21933547	21936240	2694	+	0	overlapStart	0	CCNYL6
chr19	36038126	36038275	150	*	X14777	100506469	36031640	36036931	5292	-	1194	upstream	1194	TMEM147-AS1
chr19	36234793	36234927	135	*	X14812	55851	36236494	36243734	7241	+	1566	upstream	1566	PSENEN
chr19	36237458	36237562	105	*	X14813	199746	36233428	36236336	2909	-	1121	upstream	1121	U2AF1L4
chr19	36237458	36237562	105	*	X14813	79713	36230151	36236336	6186	-	1121	upstream	1121	IGFLR1
chr19	36237458	36237562	105	*	X14813	55957	36239262	36245420	6159	+	1699	upstream	1699	LIN37
chr19	36238493	36238582	90	*	X14814	55957	36239262	36245420	6159	+	679	upstream	679	LIN37
chr19	36246763	36247107	345	*	X14819	148137	36249044	36260077	11034	+	1936	upstream	1936	PROSER3
chr19	36500486	36500834	349	*	X14853	163183	36494002	36500273	6272	-	212	upstream	212	SYNE4
chr19	39369800	39369979	180	*	X14999	126432	39358472	39368919	10448	-	880	upstream	880	RINL
chr19	39370010	39370129	120	*	X15000	126432	39358472	39368919	10448	-	1090	upstream	1090	RINL
chr19	39370340	39370444	105	*	X15001	126432	39358472	39368919	10448	-	1420	upstream	1420	RINL
chr19	39440953	39441057	105	*	X15018	54938	39405904	39440495	34592	-	457	upstream	457	SARS2
chr19	39805968	39806087	120	*	X15041	57622	39797457	39805976	8520	-	0	overlapStart	0	LRFN1
chr19	39806424	39806543	120	*	X15042	57622	39797457	39805976	8520	-	447	upstream	447	LRFN1
chr19	39807438	39807557	120	*	X15043	57622	39797457	39805976	8520	-	1461	upstream	1461	LRFN1
chr19	40324957	40324966	10	*	X15093	9149	40315990	40324841	8852	-	115	upstream	115	DYRK1B
chr19	40475998	40476002	5	*	X15096	5704	40476912	40487671	10760	+	909	upstream	909	PSMC4
chr19	41198542	41198844	303	*	X15170	9253	41171812	41196556	24745	-	1985	upstream	1985	NUMBL
chr19	41276099	41276113	15	*	X15187	100529262	41277553	41302849	25297	+	1439	upstream	1439	MIA-RAB4B
chr19	44010722	44010822	101	*	X15296	653583	43979255	44008985	29731	-	1736	upstream	1736	PHLDB3
chr19	44028579	44028698	120	*	X15297	284346	44029649	44040284	10636	+	950	upstream	950	ZNF575
chr19	44098312	44098581	270	*	X15314	79177	44100544	44118649	18106	+	1962	upstream	1962	ZNF576
chr19	44115820	44115969	150	*	X15317	100170229	44116253	44118650	2398	+	283	upstream	283	SRRM5
chr19	44407671	44407790	120	*	X15334	100505715	44395956	44405955	10000	-	1715	upstream	1715	LOC100505715
chr19	44715208	44715297	90	*	X15342	7770	44716691	44741421	24731	+	1393	upstream	1393	ZNF227
chr19	45157403	45157619	217	*	X15354	100616355	45156956	45157002	47	-	400	upstream	400	MIR4531
chr19	46287159	46287182	24	*	X15470	1760	46272976	46285815	12840	-	1343	upstream	1343	DMPK
chr19	46287273	46287453	181	*	X15471	1760	46272976	46285815	12840	-	1457	upstream	1457	DMPK
chr19	46319672	46319821	150	*	X15476	81492	46298968	46318605	19638	-	1066	upstream	1066	RSPH6A
chr19	47213776	47213802	27	*	X15553	100422913	47212550	47212602	53	-	1173	upstream	1173	MIR320E
chr19	48257631	48257795	165	*	X15659	692091	48259110	48259219	110	+	1314	upstream	1314	SNORD23
chr19	48257809	48257943	135	*	X15660	692091	48259110	48259219	110	+	1166	upstream	1166	SNORD23
chr19	48258336	48258485	150	*	X15661	692091	48259110	48259219	110	+	624	upstream	624	SNORD23
chr19	48258868	48258903	36	*	X15662	692091	48259110	48259219	110	+	206	upstream	206	SNORD23
chr19	48675460	48675481	22	*	X15677	3978	48618703	48673560	54858	-	1899	upstream	1899	LIG1
chr19	48957196	48957315	120	*	X15686	3770	48958964	48969367	10404	+	1648	upstream	1648	KCNJ14
chr19	48957404	48957628	225	*	X15687	3770	48958964	48969367	10404	+	1335	upstream	1335	KCNJ14
chr19	48957637	48958041	405	*	X15688	3770	48958964	48969367	10404	+	922	upstream	922	KCNJ14
chr19	48958177	48958281	105	*	X15689	3770	48958964	48969367	10404	+	682	upstream	682	KCNJ14
chr19	48958621	48958755	135	*	X15690	3770	48958964	48969367	10404	+	208	upstream	208	KCNJ14
chr19	49498579	49498668	90	*	X15720	2997	49471382	49496610	25229	-	1968	upstream	1968	GYS1
chr19	49991157	49991276	120	*	X15768	26819	49993223	49993304	82	+	1946	upstream	1946	SNORD32A
chr19	50029130	50029207	78	*	X15773	57333	50030875	50046890	16016	+	1667	upstream	1667	RCN3
chr19	50166316	50166435	120	*	X15822	83596	50168399	50177173	8775	+	1963	upstream	1963	BCL2L12
chr19	50190159	50190171	13	*	X15828	199800	50191942	50194247	2306	+	1770	upstream	1770	ADM5
chr19	50190517	50190621	105	*	X15829	199800	50191942	50194247	2306	+	1320	upstream	1320	ADM5
chr19	50191237	50191397	161	*	X15830	199800	50191942	50194247	2306	+	544	upstream	544	ADM5
chr19	50191644	50191686	43	*	X15831	199800	50191942	50194247	2306	+	255	upstream	255	ADM5
chr19	50434347	50434402	56	*	X15868	23636	50410084	50432988	22905	-	1358	upstream	1358	NUP62
chr19	50434347	50434402	56	*	X15868	259307	50390639	50432988	42350	-	1358	upstream	1358	IL4I1
chr19	50434347	50434402	56	*	X15868	100616483	50436321	50436394	74	+	1918	upstream	1918	MIR4751
chr19	50885951	50885969	19	*	X15894	5424	50887580	50921275	33696	+	1610	upstream	1610	POLD1
chr19	51302345	51302464	120	*	X15919	692203	51302286	51302382	97	-	0	overlapStart	0	SNORD88B
chr19	51302615	51302719	105	*	X15920	692203	51302286	51302382	97	-	232	upstream	232	SNORD88B
chr19	51302615	51302719	105	*	X15920	692202	51302696	51302792	97	-	0	overlapEnd	72	SNORD88A
chr19	51302885	51303004	120	*	X15921	692203	51302286	51302382	97	-	502	upstream	502	SNORD88B
chr19	51302885	51303004	120	*	X15921	692202	51302696	51302792	97	-	92	upstream	92	SNORD88A
chr19	51307237	51307301	65	*	X15922	692204	51305582	51305678	97	-	1558	upstream	1558	SNORD88C
chr19	52395674	52395793	120	*	X15940	84765	52359056	52394145	35090	-	1528	upstream	1528	ZNF577
chr19	52899177	52899221	45	*	X15956	84436	52901121	52921657	20537	+	1899	upstream	1899	ZNF528
chr19	55741733	55741903	171	*	X16052	255043	55738002	55740632	2631	-	1100	upstream	1100	TMEM86B
chr19	55742026	55742079	54	*	X16053	255043	55738002	55740632	2631	-	1393	upstream	1393	TMEM86B
chr19	56123371	56123445	75	*	X16093	100507290	56124959	56129907	4949	+	1513	upstream	1513	ZNF865
chr19	56164099	56164183	85	*	X16101	11338	56165416	56186082	20667	+	1232	upstream	1232	U2AF2
chr19	56185649	56185807	159	*	X16111	29924	56186561	56207133	20573	+	753	upstream	753	EPN1
chr19	58516568	58516672	105	*	X16191	80095	58488441	58514714	26274	-	1853	upstream	1853	ZNF606
chr19	58906798	58906902	105	*	X16212	646862	58907457	58908446	990	+	554	upstream	554	RNF225
chr19	59066916	59067080	165	*	X16227	27243	59062933	59066486	3554	-	429	upstream	429	CHMP2A
chr19	59067575	59067709	135	*	X16228	27243	59062933	59066486	3554	-	1088	upstream	1088	CHMP2A
chr19	59067845	59068039	195	*	X16229	27243	59062933	59066486	3554	-	1358	upstream	1358	CHMP2A
chr19	59068550	59068958	409	*	X16230	100131691	59070553	59086164	15612	+	1594	upstream	1594	MZF1-AS1
chr19	59071460	59071579	120	*	X16231	9040	59067079	59070343	3265	-	1116	upstream	1116	UBE2M
chr2	12876477	12876611	135	*	X16347	100422986	12877493	12877570	78	+	881	upstream	881	MIR3125
chr2	27438971	27439180	210	*	X16478	790	27440258	27466654	26397	+	1077	upstream	1077	CAD
chr2	27664246	27664350	105	*	X16498	200634	27665233	27669348	4116	+	882	upstream	882	KRTCAP3
chr2	29004263	29004397	135	*	X16516	245711	29005383	29073475	68093	+	985	upstream	985	SPDYA
chr2	74708822	74708971	150	*	X16869	64427	74710200	74721691	11492	+	1228	upstream	1228	TTC31
chr2	74731558	74731677	120	*	X16876	85474	74724644	74730443	5800	-	1114	upstream	1114	LBX2
chr2	74732226	74732345	120	*	X16877	85474	74724644	74730443	5800	-	1782	upstream	1782	LBX2
chr2	74753194	74753298	105	*	X16879	165545	74745258	74753408	8151	-	0	inside	109	DQX1
chr2	74753389	74753508	120	*	X16880	165545	74745258	74753408	8151	-	0	overlapStart	0	DQX1
chr2	74758234	74758323	90	*	X16881	550	74753775	74756974	3200	-	1259	upstream	1259	AUP1
chr2	74758924	74759028	105	*	X16882	550	74753775	74756974	3200	-	1949	upstream	1949	AUP1
chr2	85766812	85766875	64	*	X16903	100630918	85764590	85766009	1420	-	802	upstream	802	PARTICL
chr2	176985879	176985983	105	*	X17382	3235	176987413	176989645	2233	+	1429	upstream	1429	HOXD9
chr2	176986944	176987093	150	*	X17383	3235	176987413	176989645	2233	+	319	upstream	319	HOXD9
chr2	219266619	219266847	229	*	X17558	407017	219267369	219267445	77	+	521	upstream	521	MIR26B
chr2	219267279	219267368	90	*	X17559	407017	219267369	219267445	77	+	0	upstream	0	MIR26B
chr2	220084860	220084979	120	*	X17590	10058	220074488	220085174	10687	-	0	inside	194	ABCB6
chr2	220085340	220085474	135	*	X17591	10058	220074488	220085174	10687	-	165	upstream	165	ABCB6
chr2	223161224	223161403	180	*	X17642	151278	223162866	223169936	7071	+	1462	upstream	1462	CCDC140
chr2	233642235	233642268	34	*	X17702	3769	233630512	233641275	10764	-	959	upstream	959	KCNJ13
chr2	240273919	240274023	105	*	X17796	100616360	240273419	240273499	81	-	419	upstream	419	MIR2467
chr2	242294102	242294206	105	*	X17871	9855	242295664	242434256	138593	+	1457	upstream	1457	FARP2
chr20	1309639	1309743	105	*	X17945	27111	1290555	1309879	19325	-	0	inside	135	SDCBP2
chr20	1310824	1310913	90	*	X17946	27111	1290555	1309879	19325	-	944	upstream	944	SDCBP2
chr20	2819644	2819720	77	*	X17972	64601	2821373	2847378	26006	+	1652	upstream	1652	VPS16
chr20	2843482	2843491	10	*	X17974	5786	2844825	3019315	174491	+	1333	upstream	1333	PTPRA
chr20	2843762	2843896	135	*	X17975	5786	2844825	3019315	174491	+	928	upstream	928	PTPRA
chr20	2844548	2844601	54	*	X17976	5786	2844825	3019315	174491	+	223	upstream	223	PTPRA
chr20	3765718	3765852	135	*	X18008	994	3767578	3786761	19184	+	1725	upstream	1725	CDC25B
chr20	30194331	30194435	105	*	X18181	100422904	30194989	30195043	55	+	553	upstream	553	MIR3193
chr20	44439302	44439406	105	*	X18526	11065	44441255	44445596	4342	+	1848	upstream	1848	UBE2C
chr20	54968793	54968795	3	*	X18697	6790	54944445	54967351	22907	-	1441	upstream	1441	AURKA
chr20	57394912	57395046	135	*	X18738	100126296	57393281	57393368	88	-	1543	upstream	1543	MIR298
chr20	57608924	57609043	120	*	X18751	514	57603733	57607422	3690	-	1501	upstream	1501	ATP5F1E
chr20	60907760	60907849	90	*	X18810	100616340	60907543	60907613	71	-	146	upstream	146	MIR4758
chr20	60908510	60908585	76	*	X18811	100616340	60907543	60907613	71	-	896	upstream	896	MIR4758
chr20	60909069	60909158	90	*	X18812	100616340	60907543	60907613	71	-	1455	upstream	1455	MIR4758
chr20	61916305	61916540	236	*	X18851	100422945	61918160	61918218	59	+	1619	upstream	1619	MIR4326
chr20	62325117	62325140	24	*	X18883	8771	62327131	62330051	2921	+	1990	upstream	1990	TNFRSF6B
chr20	62325516	62325542	27	*	X18884	8771	62327131	62330051	2921	+	1588	upstream	1588	TNFRSF6B
chr20	62492660	62492770	111	*	X18890	140701	62492566	62494341	1776	+	0	inside	93	ABHD16B
